                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     59,                 1.2541,                 1.2825,                  1.236,                 0.5134,                    0.5,                0.55059,                0.29818,                 1.7328,                 4.7393,                 1.7747,              0.0016172,              0.0016172,              0.0016172
                     60,                 1.5192,                 1.6249,                 1.4209,                0.47215,                    0.7,                0.58621,                0.30148,                 1.6356,                 4.0287,                 1.7111,              0.0016106,              0.0016106,              0.0016106
                     61,                 1.3353,                 1.3481,                 1.3226,                0.52065,                    0.8,                0.58381,                 0.2682,                 1.6962,                 3.6174,                 1.9005,               0.001604,               0.001604,               0.001604
                     62,                 1.4124,                 1.5523,                  1.335,                0.56314,                    0.5,                 0.5743,                0.27501,                 1.8578,                 2.6906,                 2.0163,              0.0015974,              0.0015974,              0.0015974
                     63,                 1.1669,                 1.1781,                 1.1794,                0.58401,                0.56402,                0.57778,                0.25776,                 2.0465,                 2.7276,                 2.0074,              0.0015908,              0.0015908,              0.0015908
                     64,                 1.3014,                 1.1534,                 1.2349,                 0.4268,                0.52259,                0.56399,                 0.2523,                 1.9166,                 3.0653,                 1.7307,              0.0015842,              0.0015842,              0.0015842
                     65,                 1.3744,                 1.3277,                 1.2427,                0.76556,                    0.5,                0.58566,                0.26988,                 1.9804,                 3.4787,                 1.7586,              0.0015776,              0.0015776,              0.0015776
                     66,                 1.3075,                 1.1859,                 1.2346,                0.81772,                    0.5,                0.57357,                  0.246,                 2.1521,                 3.4078,                 1.9104,               0.001571,               0.001571,               0.001571
                     67,                 1.2779,                 1.2477,                 1.3484,                0.52822,                    0.6,                0.47398,                0.15258,                 2.5519,                 3.9167,                 2.2294,              0.0015644,              0.0015644,              0.0015644
                     68,                 1.3518,                  1.277,                 1.2538,                0.38013,                    0.4,                0.35711,                    0.1,                 2.4902,                 4.0186,                 2.1333,              0.0015578,              0.0015578,              0.0015578
                     69,                 1.4135,                 1.4136,                 1.3052,                0.37332,                    0.6,                0.44721,                 0.1283,                 2.2653,                 3.3106,                 2.0993,              0.0015512,              0.0015512,              0.0015512
                     70,                 1.3895,                 1.2166,                 1.3061,                 0.5656,                    0.5,                0.51557,                0.20496,                 2.0597,                 2.4712,                 1.9301,              0.0015446,              0.0015446,              0.0015446
                     71,                 1.1603,                 1.2182,                 1.2109,                0.33476,                    0.5,                0.47335,                0.25204,                 2.1542,                 2.1042,                 1.9446,               0.001538,               0.001538,               0.001538
                     72,                  1.209,                 1.1872,                 1.1467,                0.75995,                    0.4,                0.53246,                0.27598,                 2.0868,                 2.2259,                 1.8394,              0.0015314,              0.0015314,              0.0015314
                     73,                 1.1746,                 1.1224,                 1.2195,                0.64103,                    0.4,                0.47009,                0.27605,                 1.9676,                 2.2222,                 1.7405,              0.0015248,              0.0015248,              0.0015248
                     74,                  1.299,                 1.2083,                 1.2384,                0.59293,                0.58408,                0.50856,                0.28438,                 1.6431,                 2.0495,                 1.5121,              0.0015182,              0.0015182,              0.0015182
                     75,                 1.2872,                 1.1378,                 1.2159,                0.50151,                    0.6,                0.57724,                 0.2629,                  1.935,                 2.2613,                 1.6885,              0.0015116,              0.0015116,              0.0015116
                     76,                 1.1384,                 1.1295,                 1.1355,                0.36872,                0.70094,                0.53979,                0.21899,                 1.9751,                 2.4994,                 1.7782,               0.001505,               0.001505,               0.001505
                     77,                  1.202,                 1.0301,                 1.1149,                0.56834,                    0.6,                 0.5541,                0.19629,                  2.179,                 2.4991,                 1.9292,              0.0014984,              0.0014984,              0.0014984
                     78,                 1.1916,                  1.169,                 1.2021,                0.64471,                    0.6,                0.49615,                0.24217,                 2.2147,                 2.3936,                 1.8788,              0.0014918,              0.0014918,              0.0014918
                     79,                 1.1054,                 1.1689,                  1.152,                0.58827,                    0.6,                0.46021,                0.21222,                 2.2603,                 2.3298,                 1.7729,              0.0014852,              0.0014852,              0.0014852
                     80,                 1.0938,                  1.031,                 1.1567,                0.41897,                    0.6,                0.42673,                0.19363,                 2.2461,                 2.4687,                 1.8334,              0.0014786,              0.0014786,              0.0014786
                     81,                 1.1193,                 1.0592,                 1.0966,                0.31183,                    0.6,                0.31811,                0.15426,                 2.1757,                 2.6444,                 1.7894,               0.001472,               0.001472,               0.001472
                     82,                 1.2328,                 1.2026,                 1.1467,                0.39854,                0.59658,                0.33252,                0.14406,                 2.1005,                 2.3533,                 1.7599,              0.0014654,              0.0014654,              0.0014654
                     83,                 1.0619,                0.98211,                 1.1047,                0.37023,                0.58855,                0.37512,                 0.1739,                 1.9985,                 2.2619,                 1.6368,              0.0014588,              0.0014588,              0.0014588
                     84,                 1.2076,                0.98451,                 1.1621,                0.37735,                0.66789,                0.36204,                0.16715,                 1.9896,                 2.3037,                 1.6024,              0.0014522,              0.0014522,              0.0014522
                     85,                 1.2549,                 1.3065,                 1.2971,                0.40557,                    0.5,                0.39893,                0.17959,                  1.859,                 2.2096,                 1.5512,              0.0014456,              0.0014456,              0.0014456
